SEASON,AREA_ID,AREA_NAME,AREA_CODE,AREA_FLAG,COMPETITION_ID,COMPETITION_NAME,COMPETITION_CODE,COMPETITION_TYPE,COMPETITION_EMBLEM,SEASON_ID,SEASON_STARTDATE,SEASON_ENDDATE,CURRENT_MATCHDAY,SEASON_WiNNER,STAGE,STANDINGS_TYPE,COMP_GROUP
2025,2077,Europe,EUR,https://crests.football-data.org/EUR.svg,2001,UEFA Champions League,CL,CUP,https://crests.football-data.org/CL.png,2454,2025-09-16,2026-05-30,2,,GROUP_STAGE,TOTAL,Ligaphase
2025,2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,2403,2025-08-15,2026-05-24,6,,REGULAR_SEASON,TOTAL,
